HSNCode,CGSTRate,SGSTRate,IGSTRate
4801,2.5,2.5,5
4823,2.5,2.5,5
4901,2.5,2.5,5
5004,2.5,2.5,5
5005,2.5,2.5,5
5006,2.5,2.5,5
5007,2.5,2.5,5
5104,2.5,2.5,5
5105,2.5,2.5,5
5106,2.5,2.5,5
5107,2.5,2.5,5
5108,2.5,2.5,5
5109,2.5,2.5,5
5110,2.5,2.5,5
5111,2.5,2.5,5
5112,2.5,2.5,5
5113,2.5,2.5,5
5201,2.5,2.5,5
5202,2.5,2.5,5
5023,2.5,2.5,5
5204,2.5,2.5,5
5205,2.5,2.5,5
5206,2.5,2.5,5
5207,2.5,2.5,5
5208,2.5,2.5,5
5209,2.5,2.5,5
5210,2.5,2.5,5
5211,2.5,2.5,5
5212,2.5,2.5,5
5301,2.5,2.5,5
5302,2.5,2.5,5
5303,2.5,2.5,5
5305,2.5,2.5,5
5306,2.5,2.5,5
5307,2.5,2.5,5
5308,2.5,2.5,5
5309,2.5,2.5,5
5310,2.5,2.5,5
5311,2.5,2.5,5
5407,2.5,2.5,5
5408,2.5,2.5,5
5512,2.5,2.5,5
5513,2.5,2.5,5
5514,2.5,2.5,5
5515,2.5,2.5,5
5516,2.5,2.5,5
5605 0010,2.5,2.5,5
5607,2.5,2.5,5
5608,2.5,2.5,5
5609,2.5,2.5,5
5702,2.5,2.5,5
5703,2.5,2.5,5
5705,2.5,2.5,5
5801,2.5,2.5,5
5806,2.5,2.5,5
5808,2.5,2.5,5
5809,2.5,2.5,5
5810,2.5,2.5,5
60,2.5,2.5,5
61,2.5,2.5,5
6501,2.5,2.5,5
6505,2.5,2.5,5
62,2.5,2.5,5
63,2.5,2.5,5
6309,2.5,2.5,5
6310,2.5,2.5,5
64,2.5,2.5,5
6602 00 00,2.5,2.5,5
6815,2.5,2.5,5
6901 00 10,2.5,2.5,5
6904 10 00,2.5,2.5,5
6905 10 00,2.5,2.5,5
7001,2.5,2.5,5
7018,2.5,2.5,5
84,2.5,2.5,5
8407 10 00,2.5,2.5,5
8411,2.5,2.5,5
8413,2.5,2.5,5
8413 91,2.5,2.5,5
8419 19,2.5,2.5,5
8437,2.5,2.5,5
8504,2.5,2.5,5
84,2.5,2.5,5
85,2.5,2.5,5
94,2.5,2.5,5
8509,2.5,2.5,5
84,2.5,2.5,5
85,2.5,2.5,5
87,2.5,2.5,5
8713,2.5,2.5,5
8714 20,2.5,2.5,5
88,2.5,2.5,5
8802,2.5,2.5,5
8803,2.5,2.5,5
8901,2.5,2.5,5
8902,2.5,2.5,5
8904,2.5,2.5,5
8905,2.5,2.5,5
8906,2.5,2.5,5
8907,2.5,2.5,5
90,2.5,2.5,5
90,2.5,2.5,5
90,2.5,2.5,5
84,2.5,2.5,5
90,2.5,2.5,5
90,2.5,2.5,5
9404,2.5,2.5,5
9401 10 00,2.5,2.5,5
9405 50 31,2.5,2.5,5
9405 91 00,2.5,2.5,5
9405 92 00,2.5,2.5,5
9405 99 00,2.5,2.5,5
9503,2.5,2.5,5
9507,2.5,2.5,5
9601,2.5,2.5,5
9603,2.5,2.5,5
9704,2.5,2.5,5
9705,2.5,2.5,5
9804,2.5,2.5,5
4601,2.5,2.5,5
4602,2.5,2.5,5
4823,2.5,2.5,5
5607,2.5,2.5,5
5609,2.5,2.5,5
5609 00 20,2.5,2.5,5
5609 00 90,2.5,2.5,5
57,2.5,2.5,5
5804 30 00,2.5,2.5,5
5805,2.5,2.5,5
5808 10,2.5,2.5,5
5810,2.5,2.5,5
6117,2.5,2.5,5
6214,2.5,2.5,5
7018 10,2.5,2.5,5
7018 10,2.5,2.5,5
Any Chapter,2.5,2.5,5
Any Chapter,2.5,2.5,5
01012100,6,6,12
010129,6,6,12
0402 91 10,6,6,12
0402 99 20,6,6,12
0405,6,6,12
0406,6,6,12
0801,6,6,12
0802,6,6,12
0804,6,6,12
0805,6,6,12
0813,6,6,12
1108,6,6,12
1501,6,6,12
1502,6,6,12
1503,6,6,12
1504,6,6,12
1505,6,6,12
1506,6,6,12
1516,6,6,12
1517,6,6,12
1518,6,6,12
1601,6,6,12
1602,6,6,12
1603,6,6,12
1603,6,6,12
1604,6,6,12
1701 91,6,6,12
1701 99,6,6,12
1704,6,6,12
1902,6,6,12
1605,6,6,12
2001,6,6,12
2002,6,6,12
2003,6,6,12
2004,6,6,12
2005,6,6,12
2006,6,6,12
2007,6,6,12
2008,6,6,12
2009,6,6,12
2101 30,6,6,12
2102,6,6,12
2103,6,6,12
2106,6,6,12
2106 90,6,6,12
2106 90 91,6,6,12
2201,6,6,12
2202 99 10,6,6,12
2202 99 20,6,6,12
2202 99 90,6,6,12
2202 99 30,6,6,12
2515 12 10,6,6,12
2516,6,6,12
28,6,6,12
28,6,6,12
28,6,6,12
28,6,6,12
38,6,6,12
2801 20,6,6,12
2804 40 10,6,6,12
2847,6,6,12
29,6,6,12
3808 93,6,6,12
3001,6,6,12
3002,6,6,12
3003,6,6,12
3004,6,6,12
3005,6,6,12
3006,6,6,12
3215,6,6,12
3306 10 10,6,6,12
3307 41 00,6,6,12
29,6,6,12
30,6,6,12
3301,6,6,12
3406,6,6,12
3605 00 10,6,6,12
3701,6,6,12
3705,6,6,12
3706,6,6,12
3808,6,6,12
3818,6,6,12
3822,6,6,12
3826,6,6,12
3926,6,6,12
3926,6,6,12
4007,6,6,12
4014,6,6,12
4015,6,6,12
4016,6,6,12
4202 22 20,6,6,12
4202 22 30,6,6,12
4203,6,6,12
44,6,6,12
44,6,6,12
68,6,6,12
83,6,6,12
4404,6,6,12
4405,6,6,12
4406,6,6,12
4408,6,6,12
4409,6,6,12
4415,6,6,12
4416,6,6,12
4417,6,6,12
4418,6,6,12
4419,6,6,12
4420,6,6,12
4421,6,6,12
4502 00 00,6,6,12
4503,6,6,12
4504,6,6,12
4701,6,6,12
4702,6,6,12
4703,6,6,12
4704,6,6,12
4705,6,6,12
4706,6,6,12
4802,6,6,12
4804,6,6,12
4805,6,6,12
4806 20 00,6,6,12
4806 40 10,6,6,12
4807,6,6,12
4808,6,6,12
4810,6,6,12
4811,6,6,12
4817 30,6,6,12
4819,6,6,12
4820,6,6,12
4823,6,6,12
48,6,6,12
4906 00 00,6,6,12
4907,6,6,12
4908,6,6,12
4909,6,6,12
4910,6,6,12
4911,6,6,12
5401,6,6,12
5402,6,6,12
5403,6,6,12
5404,6,6,12
5405,6,6,12
5406,6,6,12
5508,6,6,12
5509,6,6,12
5510,6,6,12
5511,6,6,12
5601,6,6,12
5602,6,6,12
5603,6,6,12
5604,6,6,12
5605,6,6,12
5606,6,6,12
5607,6,6,12
5609,6,6,12
5701,6,6,12
5702,6,6,12
5703,6,6,12
5704,6,6,12
5705,6,6,12
5802,6,6,12
5803,6,6,12
5804,6,6,12
5805,6,6,12
5807,6,6,12
